freq,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC_HH,DK03	88.92 	91.33 	90.29 	93.53 	91.73 	97.34 	91.79 	95.32 	95.63 	95.57 	94.54 	95.71 
A,PC_HH,DK04	94.39 	93.79 	94.23 	90.89 	95.15 	96.35 	93.90 	96.24 	95.83 	97.12 	94.43 	96.45 
A,PC_HH,DK05	89.54 	93.44 	90.76 	89.73 	95.15 	95.40 	93.95 	95.17 	93.18 	93.93 	95.11 	94.67 
A,PC_HH,EE00	73.82 	79.31 	82.90 b	87.73 	86.19 	88.27 	90.47 	90.43 	89.98 	91.82 	92.41 	93.22 
A,PC_HH,ES11	62.32 	64.58 	69.62 	75.56 	78.68 	78.78 	82.56 	88.76 	92.40 	93.29 	93.35 	94.24 
A,PC_HH,ES12	65.51 	70.68 	72.83 	78.81 	79.70 	81.26 	85.86 	91.14 	93.37 	94.31 	94.26 	96.25 
A,PC_HH,ES13	66.92 	74.62 	73.91 	79.60 	79.64 	83.51 	83.00 	90.81 	93.87 	95.01 	94.68 	95.48 
A,PC_HH,ES21	70.68 	73.38 	77.78 	82.78 	82.64 	86.78 	89.11 	91.54 	95.46 	95.53 	96.35 	96.64 
A,PC_HH,ES22	68.19 	71.53 	75.98 	80.83 	82.50 	88.35 	87.19 	95.03 	96.49 	96.19 	96.43 	96.33 
A,PC_HH,ES23	64.35 	64.75 	69.99 	75.22 	79.25 	81.00 	82.50 	90.62 	93.63 	94.95 	94.33 	96.06 
A,PC_HH,ES24	66.52 	67.65 	70.54 	77.15 	81.59 	84.92 	88.68 	92.15 	96.28 	96.30 	98.15 	97.66 
A,PC_HH,ES30	77.27 	79.79 	83.14 	86.37 	88.31 	88.92 	91.48 	94.51 	97.07 	97.54 	97.78 	97.73 
A,PC_HH,ES41	62.93 	67.04 	68.74 	73.93 	77.55 	79.15 	82.27 	88.97 	93.89 	95.60 	94.85 	93.62 
A,PC_HH,ES42	60.63 	63.41 	66.84 	73.88 	78.25 	80.59 	80.93 	86.81 	93.23 	94.43 	95.02 	95.96 
A,PC_HH,ES43	58.39 	63.04 	68.01 	71.62 	79.56 	79.40 	78.58 	89.30 	94.20 	94.55 	94.61 	93.53 
A,PC_HH,ES51	70.26 	72.13 	77.62 	80.73 	82.87 	83.70 	87.66 	94.00 	96.66 	96.87 	97.40 	97.22 
A,PC_HH,ES52	60.11 	67.10 	70.64 	75.36 	80.73 	81.96 	86.80 	90.60 	95.81 	96.82 	96.25 	97.15 
A,PC_HH,ES53	72.78 	68.92 	78.39 	80.04 	82.02 	89.32 	90.75 	93.13 	95.61 	97.27 	97.51 	97.27 
A,PC_HH,ES61	63.31 	66.33 	72.68 	76.36 	80.62 	81.67 	83.69 	89.68 	94.74 	94.47 	94.50 	95.80 
A,PC_HH,ES62	62.88 	66.28 	72.77 	78.89 	81.39 	86.02 	87.36 	91.29 	94.38 	96.93 	96.94 	97.05 
A,PC_HH,ES63	71.25 	81.44 	81.35 	82.22 	83.93 	88.42 	91.69 	91.68 u	96.01 	92.51 	97.27 	95.54 
A,PC_HH,ES64	64.46 	66.62 	83.24 	78.46 	86.22 	80.83 	88.86 	91.24 	98.86 	98.62 	100.00 	98.55 
A,PC_HH,ES70	63.94 	66.99 	72.61 	78.60 	82.12 	80.89 	87.35 	91.10 	96.18 	96.70 	96.94 	97.11 
A,PC_HH,FI19	85.91 	86.66 	89.00 	87.98 	88.89 	93.24 	94.52 	93.36 	97.12 	96.55 	96.96 	96.79 
A,PC_HH,FI1B	92.05 	93.00 	94.01 	95.26 	94.65 	98.10 	96.91 	96.60 	97.86 	99.07 	98.23 	98.37 
A,PC_HH,FI1C	84.88 	90.13 	88.88 	87.12 	93.76 	92.70 	92.01 	95.04 	95.99 	95.80 	98.11 	96.78 
A,PC_HH,FI1D	83.30 	86.59 	86.55 	88.25 	90.15 	92.70 	92.88 	91.97 	92.45 	94.11 	96.91 	94.67 
A,PC_HH,FR10	: 	: 	88.92 	87.08 	89.70 	90.79 	91.79 	93.16 	: 	96.11 	94.12 	95.07 
A,PC_HH,FRB0	: 	: 	83.01 	82.23 	85.64 	83.86 	89.45 	90.26 	: 	94.07 	90.04 	90.98 
A,PC_HH,FRC1	: 	: 	77.47 	75.14 	84.33 	88.51 	83.18 	87.56 	: 	89.60 	88.36 	93.08 
A,PC_HH,FRC2	: 	: 	87.36 	82.29 	80.87 	80.69 	84.34 	88.79 	: 	94.36 	92.43 	95.68 
A,PC_HH,FRD1	: 	: 	69.67 	82.32 	86.37 	80.52 	85.74 	87.21 	: 	93.02 	90.20 	91.11 
A,PC_HH,FRD2	: 	: 	85.33 	81.69 	87.60 	85.00 	87.99 	87.92 	: 	91.34 	92.34 	89.66 
A,PC_HH,FRE1	: 	: 	83.18 	77.97 	82.67 	82.65 	87.30 	89.27 	: 	91.36 	92.06 	93.87 
A,PC_HH,FRE2	: 	: 	82.24 	82.21 	83.32 	87.32 	88.09 	85.14 	: 	89.55 	90.62 	94.35 
A,PC_HH,FRF1	: 	: 	83.46 	82.26 	84.49 	86.50 	90.81 	88.00 	: 	93.20 	92.84 	93.77 
A,PC_HH,FRF2	: 	: 	78.70 	81.78 	83.98 	85.77 	86.15 	87.40 	: 	92.26 	91.27 	93.01 
A,PC_HH,FRF3	: 	: 	81.83 	83.60 	88.90 	87.31 	90.02 	90.95 	: 	94.24 	88.18 	94.63 
A,PC_HH,FRG0	: 	: 	83.59 	85.59 	85.32 	86.80 	90.20 	92.95 	: 	94.62 	94.13 	94.29 
A,PC_HH,FRH0	: 	: 	78.18 	80.69 	82.85 	85.68 	89.18 	92.80 	: 	91.78 	93.42 	91.58 
A,PC_HH,FRI1	: 	: 	83.87 	85.28 	88.60 	87.61 	90.64 	91.24 	: 	94.20 	92.28 	93.87 
A,PC_HH,FRI2	: 	: 	79.46 	77.99 	80.54 	81.50 	74.36 	90.43 	: 	87.40 	86.86 	87.71 
A,PC_HH,FRI3	: 	: 	84.12 	79.96 	84.70 	79.74 	87.73 	91.94 	: 	92.82 	94.63 	91.33 
A,PC_HH,FRJ1	: 	: 	85.91 	77.24 	81.68 	84.33 	89.89 	87.73 	: 	94.29 	92.61 	92.61 
A,PC_HH,FRJ2	: 	: 	83.66 	83.80 	89.86 	87.79 	88.90 	88.88 	: 	90.94 	88.70 	93.38 
A,PC_HH,FRK1	: 	: 	81.05 	75.66 	87.25 	86.60 	88.72 	86.04 	: 	91.39 	91.69 	89.90 
A,PC_HH,FRK2	: 	: 	83.47 	85.24 	87.14 	88.73 	88.11 	92.31 	: 	94.05 	94.10 	93.41 
A,PC_HH,FRL0	: 	: 	80.38 	84.03 	86.04 	89.24 	89.19 	89.27 	: 	93.70 	93.30 	94.97 
A,PC_HH,FRM0	: 	: 	73.20 u	58.45 u	75.81 u	69.91 u	90.00 u	89.64 u	: 	86.51 u	89.42 u	85.41 u
A,PC_HH,FRY1	: 	: 	: 	69.25 	70.97 	75.05 	65.74 	77.25 	: 	83.09 	89.98 	88.31 
A,PC_HH,FRY2	: 	: 	: 	67.60 	74.94 	74.72 	76.31 	84.33 	: 	89.60 	84.10 	92.93 
A,PC_HH,FRY3	: 	: 	: 	72.16 	56.94 	73.75 	64.29 	85.22 	: 	86.72 	80.52 	77.05 
A,PC_HH,FRY4	: 	: 	: 	72.32 	74.91 	65.40 	80.50 	75.11 	: 	92.27 	86.83 	92.28 
A,PC_HH,HR03	66.42 	64.69 	71.86 	81.40 	77.83 	73.49 	83.76 	83.84 	88.28 	87.38 	85.32 	87.84 
A,PC_HH,HR04	66.41 	64.52 	66.66 	74.46 	77.10 	77.89 	80.42 	78.81 	83.36 	: 	: 	: 
A,PC_HH,HU10	76.06 	78.24 	80.63 	83.47 	86.45 	88.99 	: 	: 	: 	: 	: 	: 
A,PC_HH,HU11	: 	: 	: 	: 	: 	: 	89.75 	92.11 	94.21 	95.62 	95.62 	98.11 
A,PC_HH,HU12	: 	: 	: 	: 	: 	: 	87.96 	88.80 	87.21 	93.62 	94.52 	95.12 
A,PC_HH,HU21	69.84 	71.06 	75.42 	78.20 	80.82 	85.30 	86.59 	87.95 	91.27 	92.10 	94.68 	95.48 
A,PC_HH,HU22	67.42 	70.69 	76.16 	79.48 	82.55 	83.43 	84.52 	85.46 	85.84 	91.89 	91.99 	91.52 
