freq,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC_HH,RS21	: 	: 	: 	: 	: 	: 	: 	75.58 	77.51 	79.19 	80.72 	83.29 
A,PC_HH,RS22	: 	: 	: 	: 	: 	: 	: 	72.23 	77.29 	76.07 	76.62 	80.02 
A,PC_HH,SE11	94.83 	94.02 	91.95 	91.22 	97.38 b	97.05 	95.25 	95.04 	96.60 	95.98 	97.65 	96.19 
A,PC_HH,SE12	90.37 	91.80 	90.96 	90.63 	93.04 b	94.33 	93.57 	95.20 	94.59 	95.14 	92.23 	93.03 
A,PC_HH,SE21	89.61 	90.52 	90.90 	88.40 	86.70 b	91.29 	92.84 	98.30 	94.75 	91.63 	95.67 	95.75 
A,PC_HH,SE22	93.08 	93.27 	87.68 	92.13 	96.78 b	94.34 	94.84 	95.28 	94.68 	92.56 	95.21 	95.39 
A,PC_HH,SE23	91.85 	91.80 	92.58 	90.87 	94.25 b	95.72 	93.67 	97.41 	93.95 	91.31 	94.55 	95.43 
A,PC_HH,SE31	85.55 	93.18 	80.40 	88.90 	89.08 b	88.32 	91.19 	94.11 	85.56 	92.64 	95.55 	91.17 
A,PC_HH,SE32	88.99 	95.79 u	86.45 	92.28 	87.63 b	100.00 u	87.43 u	100.00 u	94.39 	93.87 	81.49 	95.46 
A,PC_HH,SE33	91.66 	90.68 	86.77 	97.07 	94.45 b	96.94 	90.47 	97.20 	89.71 	86.86 	89.40 	95.65 
A,PC_HH,SI01	: 	: 	74.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HH,SI02	: 	: 	78.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HH,SI03	: 	: 	: 	73.19 	77.08 	79.67 	84.13 	86.65 	89.44 	91.08 	90.45 	92.79 
A,PC_HH,SI04	: 	: 	: 	82.78 	80.06 	84.28 	89.88 	91.71 	90.61 	95.28 	95.03 	94.77 
A,PC_HH,SK01	83.97 	83.40 	79.90 	80.70 	85.25 	84.97 	88.94 	83.72 	90.13 	96.14 	95.74 	95.72 
A,PC_HH,SK02	75.19 	76.94 	77.67 	79.24 	78.96 	78.52 	81.43 	82.49 	85.03 	89.46 	89.48 	87.36 
A,PC_HH,SK03	70.85 	76.73 	77.67 	79.38 	79.11 	81.23 	78.26 	80.56 	85.94 	90.51 	89.15 	91.15 
A,PC_HH,SK04	76.18 	77.78 	79.11 	79.27 	81.48 	83.25 	78.47 	82.56 	84.46 	87.04 	91.05 	91.53 
