DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2014,80.42,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2016,85.81,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2017,88.89,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2018,89.64,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2019,88.68,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2020,90.44,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2021,95.98,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2022,92.25,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2023,94.49,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2012,80.38,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2013,78.85,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2014,85.14,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2016,85.69,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2017,88.07,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2018,89.98,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2019,89.76,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2020,88.08,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2021,96.00,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2022,92.52,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2023,95.86,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2012,73.94,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2013,83.94,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2014,81.70,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2016,84.17,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2017,89.32,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2018,88.69,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2019,92.95,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2020,91.54,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2021,93.11,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2022,94.70,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT33,2023,95.60,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2012,81.03,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2013,83.81,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2014,81.50,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2016,88.05,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2017,87.10,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2018,90.77,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2019,90.42,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2020,93.40,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2021,96.89,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2022,91.71,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT34,2023,94.97,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2012,78.51,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2013,78.03,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2014,80.08,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2015,80.34,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2016,88.02,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2017,85.27,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2018,87.78,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2019,88.97,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2020,89.52,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2021,92.53,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2022,95.76,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE10,2023,95.01,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2012,80.44,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2013,85.77,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2014,85.95,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2015,83.60,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2016,86.40,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2017,88.61,
